added,title,year,rating5,rating10,imdb_url
"2016-09-10","Everest","2015","2","","http://www.imdb.com/title/tt2719848/"
"2016-09-10","Memories","1995","1","","http://www.imdb.com/title/tt0113799/"
"2016-09-05","Platoon","1986","3","","http://www.imdb.com/title/tt0091763/"
"2016-09-04","Gattaca","1997","4","","http://www.imdb.com/title/tt0119177/"
"2016-09-03","The Abyss","1989","4","7","http://www.imdb.com/title/tt0096754/"
"2016-09-03","Precious Cargo","2016","2","3","http://www.imdb.com/title/tt4651410/"
"2016-08-28","Daft Punk's Electroma","2006","1","2","http://www.imdb.com/title/tt0800022/"
"2016-08-27","Forrest Gump","1994","5","9","http://www.imdb.com/title/tt0109830/"
"2016-08-27","Transcendence","2014","1","3","http://www.imdb.com/title/tt2209764/"
"2016-08-25","Kon-Tiki","2012","4","8","http://www.imdb.com/title/tt1613750/"
"2016-08-22","S1m0ne","2002","3","6","http://www.imdb.com/title/tt0258153/"
"2016-08-21","Spring","2014","2","5","http://www.imdb.com/title/tt3395184/"
"2016-08-21","Stuck in Love","2012","1","3","http://www.imdb.com/title/tt2205697/"
"2016-08-21","What If","2013","3","6","http://www.imdb.com/title/tt1486834/"
"2016-08-20","Interstella 5555: The 5tory of the 5ecret 5tar 5ystem","2003","2","5","http://www.imdb.com/title/tt0368667/"
"2016-08-20","Stalker","1979","2","4","http://www.imdb.com/title/tt0079944/"
"2016-08-20","No Verbal Response","2003","1","3","http://www.imdb.com/title/tt0387448/"
"2016-08-15","How I Live Now","2013","2","5","http://www.imdb.com/title/tt1894476/"
"2016-08-14","Faults","2014","2","4","http://www.imdb.com/title/tt3021360/"
"2016-08-14","Survivor","2015","1","2","http://www.imdb.com/title/tt3247714/"
"2016-08-14","Devil","2010","1","3","http://www.imdb.com/title/tt1314655/"
"2016-08-14","The Signal","2014","2","4","http://www.imdb.com/title/tt2910814/"
"2016-08-13","The Experiment","2010","2","5","http://www.imdb.com/title/tt0997152/"
"2016-08-13","Beyond the Black Rainbow","2010","1","2","http://www.imdb.com/title/tt1534085/"
"2016-08-13","Hercules","1997","4","7","http://www.imdb.com/title/tt0119282/"
"2016-08-12","The Machine","2013","2","5","http://www.imdb.com/title/tt2317225/"
"2016-08-11","Contraband","2012","3","6","http://www.imdb.com/title/tt1524137/"
"2016-08-11","The Danish Girl","2015","1","3","http://www.imdb.com/title/tt0810819/"
"2016-07-28","Taken 2","2012","2","5","http://www.imdb.com/title/tt1397280/"
"2016-07-25","Clinton Cash","2016","4","9","http://www.imdb.com/title/tt5673884/"
"2016-07-17","Jodorowsky's Dune","2013","2","5","http://www.imdb.com/title/tt1935156/"
"2016-07-16","La Jetée","1962","1","4","http://www.imdb.com/title/tt0056119/"
"2016-07-16","Hercules","2014","4","7","http://www.imdb.com/title/tt1267297/"
"2016-07-16","Short Term 12","2013","4","9","http://www.imdb.com/title/tt2370248/"
"2016-07-15","Whisper of the Heart","1995","4","8","http://www.imdb.com/title/tt0113824/"
"2016-07-15","Adore","2013","1","1","http://www.imdb.com/title/tt2103267/"
"2016-07-14","There Will Be Blood","2007","4","8","http://www.imdb.com/title/tt0469494/"
"2016-07-12","Session 9","2001","2","3","http://www.imdb.com/title/tt0261983/"
"2016-07-10","Ted","2012","2","3","http://www.imdb.com/title/tt1637725/"
"2016-07-10","Man on Fire","2004","2","4","http://www.imdb.com/title/tt0328107/"
"2016-07-09","Colombiana","2011","2","5","http://www.imdb.com/title/tt1657507/"
"2016-07-08","Mulholland Dr.","2001","1","2","http://www.imdb.com/title/tt0166924/"
"2016-07-08","Child 44","2015","4","8","http://www.imdb.com/title/tt1014763/"
"2016-07-05","Brazil","1985","2","3","http://www.imdb.com/title/tt0088846/"
"2016-07-01","The Man from Earth","2007","3","6","http://www.imdb.com/title/tt0756683/"
"2016-06-28","Mediastan","2013","2","5","http://www.imdb.com/title/tt3169780/"
"2016-06-28","Cloverfield","2008","3","6","http://www.imdb.com/title/tt1060277/"
"2016-06-28","The Host","2006","1","3","http://www.imdb.com/title/tt0468492/"
"2016-06-27","Metropolis","2001","2","3","http://www.imdb.com/title/tt0293416/"
"2016-06-26","Enter the Void","2009","1","3","http://www.imdb.com/title/tt1191111/"
"2016-06-24","Brooklyn","2015","5","10","http://www.imdb.com/title/tt2381111/"
"2016-06-22","Captain America: The Winter Soldier","2014","3","7","http://www.imdb.com/title/tt1843866/"
"2016-06-19","Thor: The Dark World","2013","3","6","http://www.imdb.com/title/tt1981115/"
"2016-05-26","Iron Man 3","2013","3","7","http://www.imdb.com/title/tt1300854/"
"2016-05-22","The Avengers","2012","4","9","http://www.imdb.com/title/tt0848228/"
"2016-05-22","Elizabeth: The Golden Age","2007","1","3","http://www.imdb.com/title/tt0414055/"
"2016-05-21","Captain America: The First Avenger","2011","4","8","http://www.imdb.com/title/tt0458339/"
"2016-05-19","Super","2010","2","4","http://www.imdb.com/title/tt1512235/"
"2016-05-17","Thor","2011","4","8","http://www.imdb.com/title/tt0800369/"
"2016-05-15","Iron Man 2","2010","3","6","http://www.imdb.com/title/tt1228705/"
"2016-05-13","Iron Man","2008","4","9","http://www.imdb.com/title/tt0371746/"
"2016-05-13","The Incredible Hulk","2008","4","7","http://www.imdb.com/title/tt0800080/"
"2016-05-09","The Conjuring","2013","3","5","http://www.imdb.com/title/tt1457767/"
"2016-04-29","Ginger & Rosa","2012","2","4","http://www.imdb.com/title/tt2115295/"
"2016-04-21","Killers","2014","2","3","http://www.imdb.com/title/tt2409300/"
"2016-04-18","Donnie Darko","2001","4","8","http://www.imdb.com/title/tt0246578/"
"2016-04-05","Crimson Peak","2015","3","5","http://www.imdb.com/title/tt2554274/"
"2016-04-03","Juno","2007","2","4","http://www.imdb.com/title/tt0467406/"
"2016-04-03","The Devil's Advocate","1997","3","5","http://www.imdb.com/title/tt0118971/"
"2016-04-02","Gangs of New York","2002","3","5","http://www.imdb.com/title/tt0217505/"
"2016-03-10","Under the Skin","2013","2","4","http://www.imdb.com/title/tt1441395/"
"2016-02-25","Saving Private Ryan","1998","4","9","http://www.imdb.com/title/tt0120815/"
"2016-02-23","The Visitant","2014","3","7","http://www.imdb.com/title/tt3246980/"
"2016-02-23","Ex Machina","2015","4","9","http://www.imdb.com/title/tt0470752/"
"2016-02-20","The Raid 2","2014","2","6","http://www.imdb.com/title/tt2265171/"
"2016-02-15","The Revenant","2015","4","8","http://www.imdb.com/title/tt1663202/"
"2016-02-12","The Dudesons","2006","3","7","http://www.imdb.com/title/tt1409056/"
"2016-02-11","Sin City","2005","2","4","http://www.imdb.com/title/tt0401792/"
"2016-02-02","The Descent","2005","2","5","http://www.imdb.com/title/tt0435625/"
"2016-01-31","Automata","2014","2","4","http://www.imdb.com/title/tt1971325/"
"2016-01-29","Sicario","2015","4","8","http://www.imdb.com/title/tt3397884/"
"2016-01-28","Only God Forgives","2013","3","6","http://www.imdb.com/title/tt1602613/"
"2016-01-23","The Curious Case of Benjamin Button","2008","3","7","http://www.imdb.com/title/tt0421715/"
"2016-01-21","Band of Brothers","2001","4","9","http://www.imdb.com/title/tt0185906/"
"2016-01-16","The Martian","2015","4","9","http://www.imdb.com/title/tt3659388/"
"2015-12-13","Kill Bill: Vol. 2","2004","5","8","http://www.imdb.com/title/tt0378194/"
"2015-12-11","Kill Bill: Vol. 1","2003","5","8","http://www.imdb.com/title/tt0266697/"
"2015-12-08","Jessica Jones","2015","4","8","http://www.imdb.com/title/tt2357547/"
